ds,yhat
2013-07-12,8.166260158115179
2013-07-13,8.272851521986402
2013-07-14,8.392901822237617
2013-07-15,8.520205058977663
2013-07-16,8.648172646912268
2013-07-17,8.769987159243446
2013-07-18,8.878767939865249
2013-07-19,8.96774446922662
2013-07-20,9.03043304566722
2013-07-21,9.06081213710652
2013-07-22,9.05349167583885
2013-07-23,9.003871616389901
2013-07-24,8.908285254031785
2013-07-25,8.76412310701708
2013-07-26,8.56993359254517
2013-07-27,8.325497265233693
2013-07-28,8.031872024211195
2013-07-29,7.6914074149623275
2013-07-30,7.307726936045882
2013-07-31,6.885678088189844
2013-08-01,6.431250751855985
2013-08-02,5.951465326140553
2013-08-03,5.454232883543916
2013-08-04,4.948190368859676
2013-08-05,4.442514574238876
2013-08-06,3.9467192363885015
2013-08-07,3.470440107852946
2013-08-08,3.0232132372354155
2013-08-09,2.6142519413586847
2013-08-10,2.2522280572298623
2013-08-11,1.9450630190305276
2013-08-12,1.6997341147021618
2013-08-13,1.5221009418440605
2013-08-14,1.4167566112107348
2013-08-15,1.38690764962179
2013-08-16,1.434285847781629
2013-08-17,1.559094500378956
2013-08-18,1.7599906169822788
2013-08-19,2.0341037655127128
2013-08-20,2.377091270037326
2013-08-21,2.7832285464733673
2013-08-22,3.2455324490044806
2013-08-23,3.7559146412827236
2013-08-24,4.305361223384605
2013-08-25,4.884134159558606
2013-08-26,5.48198948190714
2013-08-27,6.0884068074172175
2013-08-28,6.692824412120226
2013-08-29,7.284873965488878
2013-08-30,7.854609044201613
2013-08-31,8.392721717381772
2013-09-01,8.890741820806996
2013-09-02,9.341214006621481
2013-09-03,9.737848255414857
2013-09-04,10.075640252545957
2013-09-05,10.350958841093693
2013-09-06,10.561598647365505
2013-09-07,10.706796907453956
2013-09-08,10.787214479169124
2013-09-09,10.804881976486051
2013-09-10,10.763112887214223
2013-09-11,10.66638640347901
2013-09-12,10.520203484776165
2013-09-13,10.330920363203724
2013-09-14,10.105564270880969
2013-09-15,9.851636605066687
2013-09-16,9.576909035127297
2013-09-17,9.289218189694557
2013-09-18,8.996264538631806
2013-09-19,8.70542090398835
2013-09-20,8.423555702346537
2013-09-21,8.156875547808832
2013-09-22,7.91079124393625
2013-09-23,7.689810481751323
2013-09-24,7.49745975995247
2013-09-25,7.336237175734238
2013-09-26,7.207596825141738
2013-09-27,7.111964626717021
2013-09-28,7.048784467977338
2013-09-29,7.016592697154275
2013-09-30,7.0131181679434835
2013-10-01,7.035404315929136
2013-10-02,7.079949123045333
2013-10-03,7.14285832856601
2013-10-04,7.220006886061592
2013-10-05,7.3072034558537045
2013-10-06,7.400352667595865
2013-10-07,7.495609989411063
